no_plan;nombre_piece;surface_reelle;type_local;surface_carre
1478;2;52;Appartement;50.42
302;3;48;Appartement;48.22
563;6;130;Appartement;130.8
2307;5;109;Maison;109.22
440;4;91;Appartement;108.65
357;2;32;Appartement;31.65
79;2;52;Appartement;52.58
8;2;60;Appartement;58.71
442;4;96;Maison;93.23
387;5;117;Maison;117
2605;2;36;Appartement;35.6
149;5;137;Appartement;138.03
288;2;43;Appartement;42
11;2;45;Appartement;45.36
126;4;84;Appartement;82.6
563;4;88;Appartement;88.11
539;6;143;Appartement;164.87
267;2;42;Appartement;42.2
151;3;65;Appartement;68.11
51;3;75;Appartement;82.59
889;1;30;Appartement;30.23
337;1;25;Appartement;24.8
405;2;52;Appartement;52.6
43;3;88;Appartement;91.69
346;1;45;Appartement;45.54
108;3;83;Appartement;84.24
1064;3;68;Appartement;68.23
7;3;64;Appartement;62.03
5;4;109;Maison;112.93
338;4;133;Appartement;131.91
352;3;63;Appartement;63.58
2;3;50;Appartement;35.86
980;3;74;Appartement;70.09
54;4;121;Appartement;200
70;2;62;Appartement;54.84
172;4;73;Appartement;72.75
1500;2;88;Maison;94.09
495;3;71;Appartement;71.08
15;4;101;Maison;97.03
37;2;45;Appartement;44.48
368;2;63;Appartement;64.21
963;3;68;Maison;70.1
39;4;90;Appartement;76.7
78;4;120;Appartement;133.77
841;5;106;Appartement;107.61
441;2;43;Appartement;42.78
145;5;120;Maison;124.55
592;2;67;Appartement;68.11
317;3;68;Appartement;70.78
158;5;112;Appartement;112.3
75;4;95;Maison;95.43
352;3;63;Appartement;63.45
1054;4;75;Appartement;77.3
7;6;160;Maison;164.18
105;3;67;Appartement;66.95
1;1;31;Appartement;30.62
297;5;166;Appartement;165.92
619;2;56;Appartement;51.99
1895;3;63;Appartement;63.17
4;3;88;Appartement;84.97
164;4;87;Appartement;88.7
312;2;51;Appartement;50.64
3;1;39;Appartement;38
290;3;71;Appartement;70.53
22;6;143;Maison;105.68
240;3;53;Appartement;46.12
782;2;39;Appartement;37.63
132;4;89;Appartement;87.38
301;2;50;Appartement;50.33
239;4;136;Appartement;134.17
61;3;62;Appartement;47.65
100;4;102;Maison;99.13
52;2;43;Appartement;43.42
200;4;83;Maison;83.6
1046;2;55;Appartement;54.65
443;3;81;Appartement;81.15
16;3;56;Appartement;53.43
470;3;75;Appartement;74.85
5;4;90;Maison;90.33
107;4;86;Maison;99.39
1354;5;118;Maison;123.16
75;5;110;Maison;110.13
75;3;70;Appartement;71.43
52;3;56;Appartement;56.02
162;4;85;Appartement;85.12
740;4;74;Appartement;75
197;4;133;Appartement;135.68
739;2;33;Appartement;35.59
466;3;63;Appartement;62.38
466;4;100;Appartement;92.04
228;2;46;Appartement;46.05
131;2;34;Appartement;34.56
251;2;43;Appartement;43.23
97;4;80;Maison;83.82
248;2;39;Appartement;38.67
73;3;92;Appartement;88
223;2;57;Appartement;56.96
131;3;55;Appartement;55.4
333;2;79;Appartement;74.72
36;6;190;Appartement;295.21
71;3;170;Maison;222.97
112;4;113;Appartement;113.52
460;4;127;Appartement;127.2
75;2;49;Appartement;47.6
21;3;74;Appartement;65.29
463;4;83;Appartement;81.24
188;2;32;Appartement;42.89
740;3;69;Appartement;69.66
33;3;69;Appartement;69.65
596;3;64;Appartement;64.44
277;4;88;Appartement;88.83
563;3;35;Appartement;35.3
524;2;40;Appartement;45.5
139;4;77;Maison;73.77
84;3;67;Appartement;67.94
336;1;30;Appartement;22.2
228;2;48;Appartement;48.38
