code_voie;no_voie;code_id_commune;voie;code_departement;commune;type_de_voie;code_postal
5;190;0;CENTRALE;1;SAINT-ETIENNE-DU-BOIS;RUE;1370.0
20;347;1;DU CHATEAU;1;CHEVRY;RUE;1170.0
527;58;2;DU MONT BLANC;1;DIVONNE-LES-BAINS;AV;1220.0
2;140;3;DE L'ABBE JOLIVET;1;PERON;RUE;1630.0
110;39;4;BUFFON;1;VALSERHONE;RUE;1200.0
179;28;5;JEAN FALCONNIER;1;CULOZ;AV;1350.0
120;8;6;DE GENEVE;1;ST-GENIS-POUILLY;RUE;1630.0
210;2;6;DU RECULET;1;ST-GENIS-POUILLY;RUE;1630.0
465;1403;2;JEAN DE GINGINS;1;DIVONNE-LES-BAINS;RUE;1220.0
36;226;6;DES CAPUCINES;1;ST-GENIS-POUILLY;ALL;1630.0
210;276;3;DE POUGNY;1;PERON;RTE;1630.0
1490;79;7;DE VERDUN;1;OYONNAX;CRS;1100.0
20;77;8;DU COMMERCE;1;ST-GERMAIN-DE-JOUX;RUE;1130.0
650;240;9;DE PRE BAILLY;1;GEX;RUE;1170.0
541;3;4;TURENNE;1;VALSERHONE;RUE;1200.0
695;44;2;DU SQUARE DE LAUSANNE;1;DIVONNE-LES-BAINS;ALL;1220.0
40;59;10;ALEXANDRE BERARD;1;AMBERIEU-EN-BUGEY;RUE;1500.0
130;282;11;DES LONGES RAYES;1;CESSY;CHE;1170.0
45;54;12;GRANDE RUE;1;SAULT-BRENAZ;GR;1150.0
160;1;13;DE GEX;1;FERNEY-VOLTAIRE;RUE;1210.0
A036;17;1;LES JARDINS DE CHEVRY;1;CHEVRY;LOT;1170.0
25;329;14;DES CARPIERES;1;SEGNY;RUE;1170.0
55;369;15;CHARLES DE GAULLE;1;LAGNIEU;AV;1150.0
33;154;16;SUR LA VIGNETTE;1;LE POIZAT-LALLEYRIAT;RUE;1130.0
745;6;9;DES USINIERS;1;GEX;RUE;1170.0
135;2;6;DU JURA;1;ST-GENIS-POUILLY;RUE;1630.0
455;54;10;MARCEL DEMIA;1;AMBERIEU-EN-BUGEY;RUE;1500.0
191;269;17;DE CHARIGNIN;1;BELLEY;CHE;1300.0
37;322;18;DE BRETIGNY;1;ORNEX;RUE;1210.0
124;132;6;DES HETRES;1;ST-GENIS-POUILLY;ALL;1630.0
170;80;13;DE MEYRIN;1;FERNEY-VOLTAIRE;RUE;1210.0
190;4;5;DE LA MAIRIE;1;CULOZ;RUE;1350.0
182;79;15;GRANDE RUE DE BULLIEZ;1;LAGNIEU;GR;1150.0
15;8;19;DE LA BIENNE;1;DORTAN;RUE;1590.0
540;29;10;REINE CLOTILDE;1;AMBERIEU-EN-BUGEY;RUE;1500.0
730;3;17;STE MARIE;1;BELLEY;RUE;1300.0
25;956;15;DE BOURG;1;LAGNIEU;RTE;1150.0
20;1;13;DU BIJOU;1;FERNEY-VOLTAIRE;AV;1210.0
55;58;13;DE LA PLANCHE BRULEE;1;FERNEY-VOLTAIRE;CHE;1210.0
16;211;20;CHANTEPIE;1;PREVESSIN-MOENS;RUE;1280.0
53;25;21;DE LA ROCHE SAMUEL;1;BRENOD;RUE;1110.0
246;25;10;DE LA COMMUNE 1871;1;AMBERIEU-EN-BUGEY;RUE;1500.0
135;6;22;DE LA TOUR;1;SAINT-JEAN-LE-VIEUX;;1640.0
55;91;13;DE LA PLANCHE BRULEE;1;FERNEY-VOLTAIRE;CHE;1210.0
270;3;23;DU DOCTEUR GREZEL;1;NANTUA;RUE;1130.0
70;28;24;DU DOC CHARCOT;1;SAINT-DENIS-EN-BUGEY;RUE;1500.0
342;312;25;DES TERRASSES;1;THOIRY;RUE;1710.0
40;10;7;AMPERE;1;OYONNAX;RUE;1100.0
95;1;26;GERARD DE NERVAL;1;BELLIGNAT;RUE;1100.0
130;10;6;DES HAUTAINS;1;ST-GENIS-POUILLY;RUE;1630.0
77;102;20;DU NEUTRINO;1;PREVESSIN-MOENS;MAIL;1280.0
170;84;13;DE MEYRIN;1;FERNEY-VOLTAIRE;RUE;1210.0
410;115;27;MASONOD;1;PLATEAU D'HAUTEVILLE;RUE;1110.0
755;812;9;DES VERTES CAMPAGNES;1;GEX;RUE;1170.0
55;26;13;DE LA PLANCHE BRULEE;1;FERNEY-VOLTAIRE;CHE;1210.0
45;2;6;DE CHAMP FUSY;1;ST-GENIS-POUILLY;RUE;1630.0
201;53;6;DES PRUNUS;1;ST-GENIS-POUILLY;ALL;1630.0
75;541;28;DES MONTS JURA;1;LELEX;RUE;1410.0
752;386;17;DES SOUPIRS;1;BELLEY;CHE;1300.0
12;663;14;BLANCHE;1;SEGNY;RTE;1170.0
11;377;9;DES ABATTOIRS;1;GEX;RUE;1170.0
295;60;10;DES FRERES CAUDRON;1;AMBERIEU-EN-BUGEY;ALL;1500.0
490;86;4;DE LA REPUBLIQUE;1;VALSERHONE;RUE;1200.0
123;148;18;DU SAUGY;1;ORNEX;IMP;1210.0
A010;77;11;CLOS CHAMP VRILLARD;1;CESSY;LOT;1170.0
240;27;9;DE L EGLISE;1;GEX;RLE;1170.0
145;5;15;DE L EGLISE;1;LAGNIEU;PL;1150.0
109;94;20;SIMON VAN DER MEER;1;PREVESSIN-MOENS;ALL;1280.0
650;242;9;DE PRE BAILLY;1;GEX;RUE;1170.0
55;8;29;DE DIVONNE;1;VESANCY;RTE;1170.0
340;24;4;LAMARTINE;1;VALSERHONE;RUE;1200.0
275;88;25;DU PETIT CHAMP;1;THOIRY;RUE;1710.0
367;27;25;DES VERGERS;1;THOIRY;RUE;1710.0
54;250;30;DES FRENES;1;IZERNORE;RUE;1580.0
398;13;10;JEAN MONNET;1;AMBERIEU-EN-BUGEY;RUE;1500.0
161;2;10;DE LA BATISSE;1;AMBERIEU-EN-BUGEY;RUE;1500.0
120;33;6;DE GENEVE;1;ST-GENIS-POUILLY;RUE;1630.0
175;30;13;DE VERSOIX;1;FERNEY-VOLTAIRE;RUE;1210.0
37;322;18;DE BRETIGNY;1;ORNEX;RUE;1210.0
145;923;31;DE MURY;1;ECHENEVEX;RTE;1170.0
82;77;1;LA PIECE;1;CHEVRY;RUE;1170.0
77;103;20;DU NEUTRINO;1;PREVESSIN-MOENS;MAIL;1280.0
77;33;20;DU NEUTRINO;1;PREVESSIN-MOENS;MAIL;1280.0
367;75;25;DES VERGERS;1;THOIRY;RUE;1710.0
5;27;32;DE CESSY;1;VERSONNEX;RTE;1210.0
509;60;4;DE SAVOIE;1;VALSERHONE;RUE;1200.0
490;90;2;DE LAUSANNE;1;DIVONNE-LES-BAINS;RUE;1220.0
550;72;10;DE LA REPUBLIQUE;1;AMBERIEU-EN-BUGEY;RUE;1500.0
560;198;4;DE VOUVRAY;1;VALSERHONE;RTE;1200.0
560;198;4;DE VOUVRAY;1;VALSERHONE;RTE;1200.0
720;786;2;DES VOIRONS;1;DIVONNE-LES-BAINS;AV;1220.0
41;256;9;DE BELLE FERME;1;GEX;AV;1170.0
30;1143;33;CLAIRES FONTAINES;1;SAINT-VULBAS;RUE;1150.0
88;40;13;VICTOR HUGO;1;FERNEY-VOLTAIRE;RUE;1210.0
690;150;17;DE LA REPUBLIQUE;1;BELLEY;RUE;1300.0
310;14;7;CASTELLION;1;OYONNAX;RUE;1100.0
85;38;13;DE VESSY;1;FERNEY-VOLTAIRE;AV;1210.0
41;256;9;DE BELLE FERME;1;GEX;AV;1170.0
100;36;10;DES APOTRES;1;AMBERIEU-EN-BUGEY;RUE;1500.0
46;91;34;GRAND' RUE;1;COLLONGES;;1550.0
165;88;31;DE LA PIERRE;1;ECHENEVEX;RUE;1170.0
112;223;18;DES PRALETS;1;ORNEX;RUE;1210.0
50;232;35;DE LA ROCHETTE;1;CHAMPAGNE-EN-VALROMEY;RUE;1260.0
118;3;6;GEORGES CHARPAK;1;ST-GENIS-POUILLY;RUE;1630.0
60;9;36;DE LA FLAUDIERE;1;JUJURIEUX;RUE;1640.0
560;392;4;DE VOUVRAY;1;VALSERHONE;RTE;1200.0
B102;5186;37;MATAFELON;1;MATAFELON-GRANGES;;1580.0
227;8;4;GEORGES MARIN;1;VALSERHONE;RUE;1200.0
18;6066;25;DES BATTOIRS;1;THOIRY;RUE;1710.0
326;1;7;CHARLES DE GAULLE;1;OYONNAX;ESPA;1100.0
32;54;4;ANTOINE JACQUET;1;VALSERHONE;RUE;1200.0
B013;5208;38;LE BULOZ;1;HAUT-VALROMEY;;1260.0
270;7;23;DU DOCTEUR GREZEL;1;NANTUA;RUE;1130.0
88;247;20;DE PRE DE PLANCHE;1;PREVESSIN-MOENS;CHE;1280.0
155;120;11;DU MARTINET;1;CESSY;CHE;1170.0
1040;12;7;DU MURET;1;OYONNAX;RUE;1100.0
16;47;39;DU CHANE;1;ARBENT;RUE;1100.0
257;1;4;JOLIOT CURIE;1;VALSERHONE;RUE;1200.0
70;15;33;DU LAVOIR;1;SAINT-VULBAS;CHE;1150.0
745;68;9;DES USINIERS;1;GEX;RUE;1170.0
431;5001;17;HONORE DE BALZAC;1;BELLEY;ALL;1300.0
172;9;5;DES FRERES SERPOLLET;1;CULOZ;RUE;1350.0
56;231;40;DE LA RABOUDIERE;1;LOYETTES;RUE;1360.0
170;80;13;DE MEYRIN;1;FERNEY-VOLTAIRE;RUE;1210.0
190;20;25;HAMEAU DES CHENES;1;THOIRY;;1710.0
325;47;2;DES ECOLIERS;1;DIVONNE-LES-BAINS;CHE;1220.0
155;48;13;DE GENEVE;1;FERNEY-VOLTAIRE;RUE;1210.0
100;40;28;DES PISTES;1;LELEX;IMP;1410.0
171;4;13;DU PEGAN;1;FERNEY-VOLTAIRE;IMP;1210.0
68;4;36;DE L HOTEL DE VILLE;1;JUJURIEUX;PL;1640.0
805;76;4;COLONEL XAVIER RENDU;1;VALSERHONE;RUE;1200.0
309;18;9;FRANCIS BLANCHARD;1;GEX;AV;1170.0
75;711;1;DES MORAINES;1;CHEVRY;RUE;1170.0
155;120;11;DU MARTINET;1;CESSY;CHE;1170.0
110;35;4;BUFFON;1;VALSERHONE;RUE;1200.0
440;20;4;PARMENTIER;1;VALSERHONE;RUE;1200.0
221;461;6;JEAN-JACQUES ROUSSEAU;1;ST-GENIS-POUILLY;RUE;1630.0
253;114;2;DU CONTE DES PERMISSIONS;1;DIVONNE-LES-BAINS;RUE;1220.0
305;38;4;JOSEPH MARION;1;VALSERHONE;RUE;1200.0
755;242;9;DES VERTES CAMPAGNES;1;GEX;RUE;1170.0
315;44;15;PASTEUR;1;LAGNIEU;RUE;1150.0
75;34;6;DES ECOLES;1;ST-GENIS-POUILLY;RUE;1630.0
110;183;14;DU VIEUX BOURG;1;SEGNY;RUE;1170.0
120;54;10;ARISTIDE BRIAND;1;AMBERIEU-EN-BUGEY;RUE;1500.0
15;99;17;DE L AMITIE;1;BELLEY;RUE;1300.0
130;16;6;DES HAUTAINS;1;ST-GENIS-POUILLY;RUE;1630.0
B032;5245;41;LES MARS;1;MIJOUX;;1410.0
10;17;13;DES ALPES;1;FERNEY-VOLTAIRE;AV;1210.0
155;35;42;DES PRELES;1;SERGY;RUE;1630.0
320;78;10;DU GEN SARRAIL;1;AMBERIEU-EN-BUGEY;AV;1500.0
63;22;4;DE L AVENIR;1;VALSERHONE;RUE;1200.0
541;7;4;TURENNE;1;VALSERHONE;RUE;1200.0
112;86;26;GUSTAVE EIFFEL;1;BELLIGNAT;RUE;1100.0
25;16;13;DU JURA;1;FERNEY-VOLTAIRE;AV;1210.0
227;6;4;GEORGES MARIN;1;VALSERHONE;RUE;1200.0
650;346;9;DE PRE BAILLY;1;GEX;RUE;1170.0
123;195;18;DU SAUGY;1;ORNEX;IMP;1210.0
18;6066;25;DES BATTOIRS;1;THOIRY;RUE;1710.0
650;348;9;DE PRE BAILLY;1;GEX;RUE;1170.0
