no_disposition;date_mutation;valeur_fonciere
1;2020-02-03;56000
1;2020-01-02;165000
1;2020-01-08;720000
1;2020-01-06;429250
1;2020-01-07;220900
1;2020-01-21;42000
1;2020-01-07;262000
1;2020-01-08;190000
1;2020-01-16;563130
1;2020-01-17;535000
1;2020-01-16;330000
1;2020-01-27;110600
1;2020-01-30;50000
1;2020-01-09;212000
1;2020-01-15;160000
1;2020-01-20;561550
1;2020-01-28;358000
1;2020-01-22;220000
1;2020-01-27;79300
1;2020-01-06;285000
1;2020-01-27;123100
1;2020-01-16;107500
1;2020-01-30;128810
1;2020-02-05;31000
1;2020-01-21;125000
1;2020-01-31;285000
1;2020-02-03;140500
1;2020-01-27;101050
1;2020-01-31;530000
1;2020-01-29;486415
1;2020-01-28;185000
1;2020-01-16;131376
1;2020-01-23;155000
1;2020-01-31;150000
1;2020-02-03;67000
1;2020-01-13;114000
1;2020-02-07;143850
1;2020-01-23;237900
1;2020-01-24;425000
1;2020-02-06;220000
1;2020-02-07;55000
1;2020-02-07;164665
1;2020-02-10;89000
1;2020-02-06;475150
1;2020-02-12;132500
1;2020-02-05;68000
1;2020-01-30;570840
1;2020-02-03;135700
1;2020-02-05;62500
1;2020-02-03;332500
1;2020-02-07;428000
1;2020-01-28;210000
1;2020-02-12;50000
1;2020-01-28;592487
1;2020-02-10;295000
1;2020-02-12;133000
1;2020-01-29;580450
1;2020-02-20;105500
1;2020-02-04;152900
1;2020-02-05;352300
1;2020-02-17;215000
1;2020-02-14;128460
1;2020-02-14;90500
1;2020-02-11;305500
1;2020-02-18;430000
1;2020-02-04;152470
1;2020-02-13;55000
1;2020-02-18;465660.47
1;2020-02-12;167550
1;2020-02-11;212862
1;2020-02-19;54000
1;2020-02-14;390000
1;2020-02-24;160000
1;2020-02-25;156580
1;2020-02-18;129258
1;2020-02-28;210000
1;2020-02-17;189350
1;2020-02-21;310000
1;2020-02-25;435000
1;2020-02-20;505000
1;2020-02-25;442100
1;2020-02-17;506000
1;2020-02-12;292000
1;2020-03-03;200000
1;2020-02-27;315800
1;2020-02-28;167000
1;2020-02-25;640000
3;2020-02-28;74000
1;2020-03-04;232550
1;2020-03-04;90000
1;2020-03-09;282000
1;2020-03-03;152000
1;2020-03-17;164000
1;2020-03-05;389500
1;2020-03-11;43000
1;2020-02-28;139130
1;2020-03-11;229100
1;2020-03-10;222450
1;2020-03-16;147500
1;2020-03-10;440000
1;2020-03-02;495000
1;2020-03-11;510000
1;2020-03-27;170000
1;2020-03-03;251500
1;2020-03-19;98000
1;2020-03-25;132300
1;2020-03-10;126000
1;2020-03-16;131500
1;2020-03-12;266960
1;2020-03-31;114500
1;2020-03-11;181970
1;2020-03-19;70000
1;2020-04-01;45000
1;2020-04-07;375000
1;2020-03-18;247000
1;2020-03-16;16300
1;2020-03-16;60000
1;2020-03-31;164000
1;2020-03-17;93585
1;2020-04-03;210000
1;2020-03-14;120000
1;2020-04-10;50000
1;2020-04-03;174850
1;2020-04-22;223905
1;2020-04-15;540000
1;2020-04-15;230000
1;2020-04-08;445000
1;2020-04-27;44000
1;2020-04-09;145900
1;2020-04-22;57000
1;2020-04-21;138000
1;2020-04-09;190000
1;2020-03-16;182000
1;2020-03-26;271000
1;2020-04-28;114400
2;2020-04-29;98000
1;2020-04-17;505000
1;2020-04-24;289150
1;2020-04-29;104000
1;2020-04-30;245000
1;2020-05-06;115000
1;2020-05-07;483800
1;2020-05-07;185000
1;2020-05-07;188000
1;2020-05-13;185000
1;2020-05-05;162000
1;2020-04-17;76000
1;2020-04-29;367000
1;2020-05-19;324050
1;2020-05-20;170000
1;2020-05-15;79370
1;2020-05-15;69800
1;2020-05-18;54120
1;2020-05-19;116500
1;2020-05-12;136000
1;2020-05-12;234810
1;2020-05-15;410000
1;2020-05-14;205000
1;2020-05-06;294000
1;2020-05-11;620000
1;2020-05-12;230000
1;2020-05-15;469820
1;2020-05-29;371550
1;2020-05-12;315000
1;2020-05-20;82500
1;2020-05-12;439785
1;2020-05-18;65000
1;2020-05-15;469000
1;2020-05-18;161000
1;2020-05-19;513350
1;2020-06-02;83000
1;2020-06-02;471810
1;2020-06-11;220470
1;2020-06-04;243000
1;2020-06-04;100000
1;2020-05-29;193700
1;2020-06-04;100000
1;2020-06-17;595600
1;2020-06-26;225000
1;2020-01-14;106000
1;2020-01-10;203400
1;2020-01-07;212150
1;2020-01-03;102000
1;2020-01-16;150200
1;2020-01-13;129400
1;2020-04-06;130000
1;2020-05-15;84800
1;2020-05-20;282600
1;2020-05-22;145100
1;2020-01-16;87000
1;2020-01-03;142000
1;2020-01-15;66000
1;2020-01-22;71500
1;2020-01-10;68100
1;2020-01-24;58900
1;2020-02-17;37900
1;2020-02-14;70000
1;2020-02-21;112900
1;2020-02-21;39500
1;2020-02-24;39900
1;2020-02-19;78100
1;2020-02-06;37015
1;2020-03-12;93000
1;2020-04-09;35000
1;2020-04-06;42500
1;2020-04-09;88000
1;2020-05-06;80900
1;2020-05-04;34000
1;2020-05-18;84000
1;2020-05-11;90000
1;2020-05-26;81500
1;2020-05-26;27000
1;2020-05-26;20000
1;2020-05-29;137000
1;2020-05-30;44500
1;2020-06-05;75000
1;2020-05-22;44000
1;2020-06-25;32500
1;2020-06-23;35500
1;2020-06-24;365000
1;2020-06-24;55000
1;2020-06-30;29500
1;2020-01-15;370000
1;2020-02-07;41000
1;2020-03-06;107000
1;2020-06-19;68700
1;2020-01-10;290000
1;2020-02-04;57000
1;2020-01-31;274000
1;2020-02-06;39000
1;2020-02-18;102345
1;2020-02-07;63500
1;2020-02-04;181000
1;2020-02-13;125000
1;2020-02-13;59000
1;2020-02-17;63000
1;2020-02-05;90000
1;2020-01-31;110000
1;2020-02-12;81000
1;2020-02-19;67000
1;2020-02-18;30000
1;2020-02-03;79180
1;2020-03-03;55000
1;2020-02-14;97000
1;2020-03-10;44000
1;2020-03-10;82500
1;2020-03-02;230000
1;2020-02-27;13000
1;2020-04-20;103090
1;2020-04-23;95000
1;2020-05-15;36000
1;2020-03-10;100789
1;2020-03-02;76280
1;2020-05-06;65000
1;2020-05-29;151000
1;2020-05-14;134000
1;2020-05-25;56500
1;2020-06-05;47500
1;2020-06-04;44000
1;2020-05-16;41500
1;2020-05-27;95000
1;2020-05-28;87000
1;2020-06-10;53000
1;2020-06-30;36000
1;2020-06-05;70000
1;2020-06-18;169000
1;2020-06-09;148586
1;2020-06-10;140000
1;2020-06-25;45375
1;2020-01-24;55000
1;2020-02-07;290000
1;2020-03-11;110500
